,standar,,term_localName,label,definition,usage,notes,type,controlled_value_string,tdwgutility_organizedInClass,equivalentXPath,SKOS_inSchema,tdwgutility_repeatable,Nuestras notas,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,
218,plic: terms,0,Potential,Potential,"Acc. TDWG Economic Botany. Could the use, cultivation, manufacture of products etc. be increased and /or introduced to other areas or social groups?",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Potential,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
219,plic: terms,0,UseNotes,Use Notes,Notes about how species are utilized by people.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/UseNotes,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
222,plic: terms,0,Objectives,Objectives,Specific purposes of the management actions. Each objective must be separated by ;,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/Objectives,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
223,plic: terms,0,ManagementPlan,Management Plan,plan guiding the overall management project.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/ManagementPlan,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
224,plic: terms,0,Actions,Actions,Individual tasks in which a management project can be atomized. Each action must be separated by ;,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/Actions,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
225,plic: terms,0,ActionsType,Actions Type,Each action must have one type. In the case that one action doesn't have type then put blank.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,,,,"Se debe eliminar, se acordo que los type no van, los elementos internos ya estan incluidos CP. ES UN VOCABULARIO CONTROLADO, HAY QUE ELIMINAR
Debe eliminarse según mensaje de Gloria Martínez (May.24: Re: Remates Plinian para entregarlo al Ejecutivo de TDWG): 10. ActionsType: no debería aparecer porque no es una hoja.",,plic,plic,http://rs.tdwg.org/plic/terms/,
226,plic: terms,0,HumanAndEnvironmentalrelevance,Human and Environmental Relevance,"Impact or value an species has either on the environment or on humans, and that justify management measures.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/HumanAndEnvironmentalRelevance,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
228,plic: terms,110,UsesManagementAndConservationUnstructured,Uses Management and Conservation Unstructured ,UsesManagementAndConservation element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/UsesManagementAndConservationUnstructured,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
230,plic: terms,70,ManagementAndConservationUnstructured,Management and Conservation Unstructured,Management: actions directed at conserving or restoring species / Conservation: interventions undertaken designed to preserve species as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationUnstructured,,,"""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1001,dc: terms,,created,Created,The date on which the resource was created. It is a DC term,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/AncillaryData/created|/Dataset/TaxonRecord/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/DirectThreatAtomized/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionScope/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AbundanceData/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AverageDensity/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/BirthRate/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/CarryingCapacity/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DensityData/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DescriptionLifeStages/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Emigration/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Fecundity/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Immigration/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/MortalityRate/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/NumberIndividualsPerObservation/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PatternDistribution/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationGrowthRate/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationTrend/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/ProportionIndividualsPerStageLife/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Recruitment/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/SexRatio/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Size/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/Territory/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/AreaOfOccupancy/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/ExtentOfOccurrence/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/AncillaryData/created|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionScope/AncillaryData/created|/Dataset/TaxonRecord/HabitatAndDistribution/AncillaryData/created|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionScope/AncillaryData/created|/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/AncillaryData/created|/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/AncillaryData/created|/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/AncillaryData/created|/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/HabitatAtomized/AncillaryData/created|/Dataset/TaxonRecord/Invasiveness/AncillaryData/created|/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Behavior/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Behavior/BehaviorAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Dispersal/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/EcologicalSignificanceAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Feeding/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Interactions/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/LifeCycle/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/LifeCycle/LifeCycleAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/LifeForm/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/LifeForm/LifeFormAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Migratory/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/MiscDetails/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/MiscDetails/DetailAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/MolecularData/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/MolecularData/MolecularDataAtomized/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Reproduction/AncillaryData/created|/Dataset/TaxonRecord/NaturalHistory/Reproduction/ReproductionAtomized/AncillaryData/created|/Dataset/TaxonRecord/NomenclatureAndClassification/AncillaryData/created|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/AncillaryData/created|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/AncillaryData/created|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionScope/AncillaryData/created|/Dataset/TaxonRecord/NomenclatureAndClassification/Hierarchy/AncillaryData/created|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/AncillaryData/created|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/DetailAtomized/AncillaryData/created|/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/AncillaryData/created|/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsAtomized/AncillaryData/created|/Dataset/TaxonRecord/NomenclatureAndClassification/TaxonRecordName/AncillaryData/created|/Dataset/TaxonRecord/RecordMetadata/Revision/created|/Dataset/TaxonRecord/TaxonomicDescription/AncillaryData/created|/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/AncillaryData/created|/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/FullDescriptionAtomized/AncillaryData/created|/Dataset/TaxonRecord/TaxonomicDescription/IdentificationKeys/AncillaryData/created|/Dataset/TaxonRecord/UsesManagementAndConservation/AncillaryData/created|/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/AncillaryData/created|/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/AncillaryData/created|/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/AncillaryData/created|/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/AncillaryData/created,,,Filtrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
1003,gsin: terms,0,modified,Modified,The Modified is the last date that the record was changed.,,From GISIN: SpeciesStatus. http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/ProtocolSpecification.php#4.4.1.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/AncillaryData/modified|/Dataset/TaxonRecord/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/DirectThreatAtomized/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionScope/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AbundanceData/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AverageDensity/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/BirthRate/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/CarryingCapacity/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DensityData/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DescriptionLifeStages/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Emigration/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Fecundity/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Immigration/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/MortalityRate/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/NumberIndividualsPerObservation/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PatternDistribution/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationGrowthRate/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationTrend/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/ProportionIndividualsPerStageLife/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Recruitment/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/SexRatio/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Size/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/Territory/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/AreaOfOccupancy/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/ExtentOfOccurrence/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/AncillaryData/modified|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionScope/AncillaryData/modified|/Dataset/TaxonRecord/HabitatAndDistribution/AncillaryData/modified|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionScope/AncillaryData/modified|/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/AncillaryData/modified|/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/AncillaryData/modified|/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/AncillaryData/modified|/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/HabitatAtomized/AncillaryData/modified|/Dataset/TaxonRecord/Invasiveness/AncillaryData/modified|/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/AncillaryData/modified|/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/modified|/Dataset/TaxonRecord/NaturalHistory/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Behavior/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Behavior/BehaviorAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Dispersal/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/EcologicalSignificanceAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Feeding/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Interactions/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/LifeCycle/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/LifeCycle/LifeCycleAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/LifeForm/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/LifeForm/LifeFormAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Migratory/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/MiscDetails/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/MiscDetails/DetailAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/MolecularData/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/MolecularData/MolecularDataAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Reproduction/AncillaryData/modified|/Dataset/TaxonRecord/NaturalHistory/Reproduction/ReproductionAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NomenclatureAndClassification/AncillaryData/modified|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/AncillaryData/modified|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionScope/AncillaryData/modified|/Dataset/TaxonRecord/NomenclatureAndClassification/Hierarchy/AncillaryData/modified|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/AncillaryData/modified|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/DetailAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/AncillaryData/modified|/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsAtomized/AncillaryData/modified|/Dataset/TaxonRecord/NomenclatureAndClassification/TaxonRecordName/AncillaryData/modified|/Dataset/TaxonRecord/TaxonomicDescription/AncillaryData/modified|/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/AncillaryData/modified|/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/FullDescriptionAtomized/AncillaryData/modified|/Dataset/TaxonRecord/TaxonomicDescription/IdentificationKeys/AncillaryData/modified|/Dataset/TaxonRecord/UsesManagementAndConservation/AncillaryData/modified|/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/AncillaryData/modified|/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/AncillaryData/modified|/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/AncillaryData/modified|/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/AncillaryData/modified,,,Filtrado: Agregado hace parte de Invasivness,,plic,plic,http://rs.tdwg.org/plic/terms/,
1004,gsin: terms,0,startValidDate,Start Valid Date,"The StartValidDate and EndValidDate represent the range of when a ""status"" data Model is valid. Data providers should return an empty element for the EndValidDate if the status is still current.",,From GISIN: SpeciesStatus. http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/ProtocolSpecification.php#4.4.1.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/startValidDate,,,Filtrado: Agregado hace parte de Invasivness. ,,plic,plic,http://rs.tdwg.org/plic/terms/,
1005,gsin: terms,0,endValidDate,End Valid Date,"The StartValidDate and EndValidDate represent the range of when a ""status"" data Model is valid. Data providers should return an empty element for the EndValidDate if the status is still current.",,From GISIN: SpeciesStatus. http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/ProtocolSpecification.php#4.4.1.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/endValidDate,,,Filtrado: Agregado hace parte de Invasivness,,plic,plic,http://rs.tdwg.org/plic/terms/,
